,lat,lng,timestamp
87,42.30874165873357,-71.11554277088166,2021-07-17 03:27:09
88,42.30888325628792,-71.11555123638418,2021-07-17 03:27:11
89,42.30902915256224,-71.11556142674733,2021-07-17 03:27:13
90,42.30916786826955,-71.11556259563757,2021-07-17 03:27:16
91,42.30930440809996,-71.11556066817938,2021-07-17 03:27:18
92,42.30944625504733,-71.11553021790543,2021-07-17 03:27:20
93,42.30959123410837,-71.115457759447,2021-07-17 03:27:22
94,42.30974979847541,-71.11540677633904,2021-07-17 03:27:24
95,42.30974979847541,-71.11540677633904,2021-07-17 03:27:24
96,42.30989512663754,-71.1152956553642,2021-07-17 03:27:26
97,42.31003979810637,-71.11516742543989,2021-07-17 03:27:28
98,42.31018988945739,-71.11504442881213,2021-07-17 03:27:30
